id,text,corrected,word,tag
108,"Например, очень часто в социальных сетях и блогах можно встретить слово « лол », которое можно трактовать как примерно как « мне очень смешно », на самом деле является сокращением от английского « Лаугхинг Оут Лоуд », что значит « громко, вслух смеюсь ».« редлинт: Лол, какие же вы глупенькие, такое убогое клише « из сссрвских книжек прочитал », ну читай:« 15 сентября 1938 года Чемберлен прибывает на встречу с Гитлером в городе Берхтесгаден, в БаварскихАльпах. коллективный.","Например, очень часто в социальных сетях и блогах можно встретить слово «лол», которое можно трактовать как примерно «мне очень смешно», на самом деле является сокращением от английского «Лаугхинг Оут Лоуд», что значит «громко, вслух смеюсь». « редлинт: Лол, какие же вы глупенькие, такое убогое клише «из сссрвских книжек прочитал», ну читай: «15 сентября 1938 года Чемберлен прибывает на встречу с Гитлером в городе Берхтесгаден, в Баварских Альпах. коллективный.",как,typo
109,"Я что компьютерные игры существует для того, чтобы отвлечься на некоторое время от реальной жизни и получить удовольствие от виртуальной жизни.","Я считаю, что компьютерные игры существуют для того, чтобы отвлечься на некоторое время от реальной жизни и получить удовольствие от виртуальной.",жизни,tauto
110,Вы получите массу необычных узнав эту книгу.,"Вы получите массу необычных впечатлений, познав эту книгу.",массу необычных,lack
111,"В течении первых четырех лет я надеюсь получать высококлассное образование в Высшей Школе Экономики, овладеть двумя языками и завести отличных друзей на всю жизнь.","В течение первых четырех лет я надеюсь получить высококлассное образование в Высшей Школе Экономики, овладеть двумя языками и завести отличных друзей на всю жизнь.",течении,word
112,"Автор данного текста следует всем правилам построения: соблюдена целостность, прослеживается композиционная стройность, связь предложений осуществляется по средствам языкового скрепа и лексических повторов.","Автор данного текста следует всем правилам построения: соблюдена целостность, прослеживается композиционная стройность, связь предложений осуществляется посредсвтом языковой скрепы и лексических повторов.",скрепа,deriv
113,"Связи предложений не нарушены и осуществляются по средствам языковых скрепов ( конечно, разумеется), лексических повторов.","Связи предложений не нарушены и осуществляются посредством языковых скреп (конечно, разумеется), лексических повторов.",по средствам,deriv
114,"Здесь числа, факты, закономерности, экономика и многое другое преподноситься с совершенно другой стороны, не на секунду не отпуская внимание читателя.","Здесь числа, факты, закономерности, экономика и многое другое преподносятся с совершенно другой стороны, ни на секунду не отпуская внимание читателя.",не,deriv
115,"В книге « Черный лебедь» изложена идея о том, что мир наполнен случайностями, непредсказуемыми событиями, которые могут в корень изменить не только жизнь одного человека, но и всего человечества.","В книге « Черный лебедь» изложена идея о том, что мир наполнен случайностями, непредсказуемыми событиями, которые могут в корне изменить не только жизнь одного человека, но и всего человечества.",корень,"infl, cause, contam, WO"
116,"В своем эссе, я бы хотела подробно рассмотреть процесс изменения языка, а также понять причины вымирания отдельных слов и появление их современных аналогий В ходе написания этой работы, я изучала статьи российского лингвиста, доктора филологических наук Максима Кронгауза, которые в дальнейшем помогли мне сформировать единый образ современного русского языка.","В своем эссе я бы хотела подробно рассмотреть процесс изменения языка, а также понять причины вымирания отдельных слов и появление их современных аналогов. В ходе написания этой работы я изучала статьи российского лингвиста, доктора филологических наук Максима Кронгауза, которые в дальнейшем помогли мне сформировать единый образ современного русского языка.",аналогий,"deriv, lex, word"
117,"Таким образом, можно предположить, что целью Талеба Н. Н. при написании данной статьи явилось желание продемонстрировать ключевое значение неопределенностей и случайностей для общественного развития, что успешно демонстрирует на примере Чёрных Лебедей.","Таким образом, можно предположить, что целью Талеба Н. Н. при написании данной статьи являлось желание продемонстрировать ключевое значение неопределенностей и случайностей для общественного развития, что успешно демонстрирует на примере Чёрных Лебедей.",явилось,"deriv, asp, voice"
118,"Сегодня может случится революция, завтра начнется война, а послезавтра наступят аномальные холода.","Сегодня может случиться революция, завтра начнется война, а послезавтра наступят аномальные холода.",случится,"deriv, asp, voice"
119,"Автор адресуется к небольшому кругу читателей, изучающий данный принцип рационального мышления, для того чтобы доказать состоятельность своей научной идеи.","Автор адресуется небольшому кругу читателей, изучающих данный принцип рационального мышления, для того чтобы доказать состоятельность своей научной идеи.",изучающий,agr
120,"Этот пример очень точно показывает то, как русский язык с течением времени лишается слов, в виду появления их современных аналогий Соответственно употребление этих слов и в устной речи также сводиться к нулю.","Этот пример очень точно показывает то, как русский язык с течением времени лишается слов, ввиду появления их современных аналогов. Соответственно, употребление этих слов и в устной речи также сводится к нулю.",аналогий,"deriv, lex, word"
121,"Тезисы , касающийся прошлого, остается для нас до сих пор загадкой, так как нельзя в него заглянуть или проверить экспериментально, поэтому вопрос, наверное, больше относится к вере, чем к науке.","Тезисы , касающиеся прошлого, остаются для нас до сих пор загадкой, так как нельзя в него заглянуть или проверить экспериментально, поэтому вопрос, наверное, больше относится к вере, чем к науке.",касающийся,agr
122,Текст выполняют свою функцию – рассказать читателям о « Бритве Оккама ».,Текст выполняет свою функцию – рассказать читателям о «Бритве Оккама».,выполняют,agr
123,"Мне кажется, что текст написан человеком, владеющим знаниями философии и истории.","Мне кажется, что текст написан человеком, владеющим знаниями в философии и истории.",философии,gov
124,"Получается, что нормальной можно считать речь элитарного типа, но так сделать нельзя, потому что разговорные типы существует наравне с остальными и тоже имеют право на существование Важно решить, вопрос о допустимости и недопустимости тех или иных отклонений от норм.","Получается, что нормальной можно считать речь элитарного типа, но так сделать нельзя, потому что разговорные типы существуют наравне с остальными и тоже имеют право на существование. Важно решить вопрос о допустимости и недопустимости тех или иных отклонений от норм.",существует,"agr, discourse"
125,"Автор подымает в данном тексте определенную проблему, анализирует ее, следовательно он написал этот текст, чтобы читатели задумались так же, как и он.","Автор поднимает в данном тексте определенную проблему, анализирует ее, следовательно, он написал этот текст, чтобы читатели задумались так же, как и он.",подымает,"deriv, styl, colloq"
126,"Словарь словарь будет интересен людям, заботящимся о грамотности своей речи.","Словарь будет интересен людям, заботящимся о грамотности своей речи.",словарь,"typo, tauto"
127,"Журналист, обращается к широкой публике, но хоть как то знакомых с автомобильным движением.","Журналист обращается к широкой публике, но хоть как-то знакомой с автомобильным движением.",знакомых,word
128,"Так, например, первый абзац мог бы кончиться словами « социального времени », а второй заканчивался бы словами « поведение в потоке ».","Так, например, первый абзац мог бы кончиться словами «социального времени», а второй - «поведение в потоке».",заканчивался,"infl, discourse, tauto"
129,"Текст был написан для всего общества, так как эта проблема очень актуально в наши дни, и именно сейчас идет тенденция перестроения общественной системы, в которой женщины стремятся занять для себя стоящую позицию.","Текст был написан для всего общества, так как эта проблема очень актуальна в наши дни, и именно сейчас идет тенденция перестройки общественной системы, в которой женщины стремятся занять для себя стоящую позицию.",актуально,agr
130,"В первую очередь это было вызвано тем, что неопытные блоггеры хотели как можно скорее стать « своими» в речевом пространстве блогосферы и сами того не подозревая популяризовывали те или иные речевые обороты или особенности написания и форматирования текста, присущие данным сетевым субкультурам.","В первую очередь это было вызвано тем, что неопытные блоггеры хотели как можно скорее стать « своими» в речевом пространстве блогосферы и, сами того не подозревая, популяризировали те или иные речевые обороты или особенности написания и форматирования текста, присущие данным сетевым субкультурам.",популяризовывали,asp
131,"Меня заинтересовала вакансия помощника логиста, которую ваша компания разместила на сайте jobs.ru Я не раз слышала о прогрессивности вашей компании, её желанию привлекать к работе в первую очередь молодых специалистов.","Меня заинтересовала вакансия помощника логиста, которую ваша компания разместила на сайте jobs.ru. Я не раз слышала о прогрессивности вашей компании, о её желании привлекать к работе в первую очередь молодых специалистов.",желанию,gov
132,"Меня заинтересовала вакансия на должность в Вашей компании, размещенная на сайте работа.сландо.ру . Я соответствую всем требованиям к претендентам на данную позицию В течении последних лет я был помощником директора на складе, получая огромные опыт работы с трансфером товара компании Аивон.","Меня заинтересовала вакансия на должность в Вашей компании, размещенная на сайте работа.сландо.ру. Я соответствую всем требованиям к претендентам на данную позицию. В течение последних лет я был помощником директора на складе, получая огромный опыт работы с трансфером товара компании ""Аивон"". ",огромные,"agr, lex, intens"
133,"Я считаю, что именно данное условие поставок оптимальны для покупателей, потому что если осуществлять поставку на условиях ехwорд,или на других условия поставок при котором обязанности отправителя заканчиваются предоставлением товара на фабрике, или предоставлением груза на порту без таможенного оформления , у покупателя возникнут проблемы с транспортировкой грузов, так как менеджеры китайских заводов имеют большой опыт в доставке грузов соответственно им известны оптимальные маршруты и выгодные условия доставок грузов.","Я считаю, что именно данное условие поставок оптимально для покупателей, потому что если осуществлять поставку на условиях ехwорд или на других условиях поставок, при которых обязанности отправителя заканчиваются предоставлением товара на фабрике или предоставлением груза в порту без таможенного оформления, у покупателя возникнут проблемы с транспортировкой грузов, так как менеджеры китайских заводов имеют большой опыт в доставке грузов, соответственно, им известны оптимальные маршруты и выгодные условия доставки грузов.",на,gov
134,Автоперевозки осуществляется в исключительных ситуациях.,Автоперевозки осуществляются в исключительных ситуациях.,осуществляется,agr
135,"Так происходит, потому что школа требует знаний теории, не очень приветствует творческие новые идеи, она следует стандартам и требует формальности.","Так происходит, потому что школа требует знания теории, не очень приветствует творческие новые идеи, она следует стандартам и требует формальности.",знаний,infl
136,"Внедрение несложных компьютеров в фотоаппараты в конце 90-х годов позволяет существенно упростить и ускорить на основе численной обработки изображений, операции как самого фотографирования людей и пейзажей так и их размножения ( причем в цветном виде тоже).","Внедрение несложных компьютеров в фотоаппараты в конце 90-х годов позволило существенно упростить и ускорить на основе численной обработки изображений, операции как самого фотографирования людей и пейзажей, так и их размножения (причем в цветном виде тоже).",позволяет,asp
137,"Разрешение на переливание было получено. . Поэтому, состояние врачей в таких ситуациях мне весьма понятна На них лежит слишком много ответственности в любой ситуации.",Разрешение на переливание было получено... Поэтому состояние врачей в таких ситуациях мне весьма понятно. На них лежит слишком много ответственности в любой ситуации.,понятна,"agr, cause, typo"
139,"Я считаю, что роман всё же отличается от остальных произведений Уайльда, так как в некоторых местах « Телени » может показаться чересчур откровенным и иногда даже вульгарным, когда как в остальных произведениях Уайльда всегда сохранятся изящество, балансирующее на грани вычурности, но не переходящее за неё.","Я считаю, что роман всё же отличается от остальных произведений Уайльда, так как в некоторых местах «Телени» может показаться чересчур откровенным и иногда даже вульгарным, тогда как в остальных произведениях Уайльда всегда сохраняется изящество, балансирующее на грани вычурности, но не переходящее за рамки неё.",когда,"deriv, paron, conn"
140,"Тест ориентирован на информированность, а не на понимания вопроса.","Тест ориентирован на информированность, а не на понимание вопроса.",понимания,infl
141,"В стране производят оборудования шины, автозапчасти, строительных материалы и много других полезных товаров для нашего комфорта в повседневной жизни.","В стране производят оборудование, шины, автозапчасти, строительные материалы и много других полезных товаров для нашего комфорта в повседневной жизни.",оборудования,infl
142,"Более того, это не выявляет интересной, в таком случаи, нам информации, так как по большей части содержательная, как и коммуникативная, сторона речи политика продуманы и заготовлены.","Более того, это не выявляет интересной, в таком случае, нам информации, так как по большей части содержательная, как и коммуникативная, сторона речи политика продуманы и заготовлены.",случаи,"agr, cause, typo"
143,"В нашем примере это то, как правильно развивается наша страна и как важно поддерживать и улучшать эти показатели.","В нашем примере показано, как правильно развивается наша страна и как важно поддерживать и улучшать эти показатели.",это то,constr
144,"Информационно-правовой базой является литература таких авторов, как: Ермакова В. П., Макиева З. Г., Прокофьевой Ж. В., Короткова Э. М., работы Ременникова В. Б., Кулагина О. А., Трояновского В. М. по теории управленческих решений.","Информационно-правовой базой является литература таких авторов, как: Ермакова В. П., Макиева З. Г., Прокофьева Ж. В., Короткова Э. М., работы Ременникова В. Б., Кулагина О. А., Трояновского В. М. по теории управленческих решений.",Прокофьевой,coord
145,"С продуктами питания скорей всего дела обстоят проще, ведь их можно увидеть и различить А вот мы увидим ли мы, и узнаем ли, что вот в данном заводе стоит вот такое китайское оборудование или тот кондиционер, который стоит в соседней комнате китайский.","С продуктами питания, скорее всего, дела обстоят проще, ведь их можно увидеть и различить. А вот увидим ли мы и узнаем ли, что вот в данном заводе стоит? Вот такое китайское оборудование или тот кондиционер, который стоит в соседней комнате, - китайский.",скорей,"infl, styl, colloq"
146,"Во-вторых, наносится огромный вред животным, например, птицам, которые ориентируются по звёздам, сбивая их с курса, что за частую ведёт к гибели птиц.","Во-вторых, наносится огромный вред животным, например, птицам, которые ориентируются по звёздам, тем, что их сбивают с курса, что зачастую ведёт к гибели птиц.",за частую,"typo, cause"
147,"Это означает, что делегации острова не сможет участвовать как в голосованиях, так и в комиссии.","Это означает, что делегация острова не сможет участвовать как в голосованиях, так и в комиссии.",делегации,"agr, discourse, typo"
148,"Наиболее яркой тактикой считается тактикой для реализации стратегии дискредитации считается высмеивание, насмешка - умаление авторитета человека через осмеяние.","Наиболее яркой тактикой для реализации стратегии дискредитации считается высмеивание, насмешка - умаление авторитета человека через осмеяние.",считается тактикой,tauto
149,В сороковых годах интенсивность этого процесса усилилась.,В сороковых годах интенсивность этого процесса увеличилась.,усилилась,"lex, word"
150,"Конечно, пока современные технологии не позволяют изобрести таблетку, которая лечила все болезни, но они позволяют создавать комплекс таблеток.","Конечно, пока современные технологии не позволяют изобрести таблетку, которая лечила бы все болезни, но они позволяют создавать комплекс таблеток.",лечила,"asp, deriv, lack"
151,"Одна таблетка будет ориентирована на определенное заболевание: грибок, вирус, аутоиммунное заболевание, или просто простуда.","Одна таблетка будет ориентирована на определенное заболевание: грибок, вирус, аутоиммунное заболевание, или просто простуду.",простуда,"infl, gov"
152,"В ответ на возражения поборников рафинированной духовности, что, дескать, не следует смешивать грешное с праведным, ответчу, не вдаваясь в теоретические лабиринты: духовность, не подтвержденная гармонией с внешним миром, когда нечего обуть самому и дети голодные, представляет собой весьма жалкое, а подчас отталкивающее зрелище.","В ответ на возражения поборников рафинированной духовности, что, дескать, не следует смешивать грешное с праведным, отвечу, не вдаваясь в теоретические лабиринты: духовность, не подтвержденная гармонией с внешним миром, когда нечего обуть самому и дети голодные, представляет собой весьма жалкое, а подчас отталкивающее зрелище.",ответчу,"typo, cause"
153,"Итак, а я очень сильно надеюсь, что, написав данную работу, не пополнила ряды и без того большое количество канцелярных трудов.","Итак, а я очень сильно надеюсь, что, написав данную работу, не пополнила ряды и без того большого количества канцелярских трудов.",канцелярных,"deriv, paron, lex, word"
154,"На 33% снижается риск развитие диабета 2-го типа, если регулярно тренироваться по 20 мин. три раза в неделю.Лобная и височная доли головного мозга атрофируются с возрастом - это давно установленный факт.","На 33% снижается риск развития диабета 2-го типа, если регулярно тренироваться по 20 мин. три раза в неделю. Лобная и височная доли головного мозга атрофируются с возрастом - это давно установленный факт.",развитие,"gov, cause, typo"
155,"Таким образом, основной целью исследования является изучение основных методов адаптации, правовых и стратегических, к сегодняшнему рынку звукозаписей в мире, а также исследование возможности применения этих методов в России.","Таким образом, основной целью исследования является изучение основных методов адаптации, правовых и стратегических, к сегодняшнему рынку звукозаписи в мире, а также исследование возможности применения этих методов в России.",рынку звукозаписей,"infl, lex, phrase"
156,"По моему мнению, это происходит из-за того, что процесс обучения людей продолжается на протяжении всей их жизни, во время которого они вынуждены переработать и запомнить немереное количество информации, а так как возможности мозга небезграничны, то существует большая вероятность того, что факты, не оставившие какой-то след в человеческом сознании, будут забыты.","По моему мнению, это происходит из-за того, что процесс обучения людей продолжается на протяжении всей жизни, во время которого они вынуждены переработать и запомнить огромное количество информации, а так как возможности мозга ограничены, то существует большая вероятность того, что факты, не оставившие какой-то след в человеческом сознании, будут забыты.",немереное,"lex, word"
157,"Она состоит из множества практик коммерческое , жилищное, семейное право.","Она состоит из множества практик: коммерческого, жилищного, семейного права.",коммерческое,agr
158,"Многие философы древности давали этому понятие свое разъяснение, например, Аристотель полагал, что « риторика есть искусство убеждать », а Квинтилиан считал, что « риторика – искусство хорошо говорить »","Многие философы древности давали этому понятию свое объяснение, например, Аристотель полагал, что риторика есть искусство убеждать, а Квинтилиан считал, что риторика – искусство хорошо говорить.",понятие,"gov, cause, typo"
159,"Замысел речи подразумевает уточнение тему речи, тезис, цель и жанр.","Замысел речи подразумевает уточнение темы речи, тезиса, цели и жанра.",тему,"gov, cause, typo"
160,"Вчера я смотрел из окна на закат , он было очень красив , но огромные клубы дыма, выпускаемого из огромных труб ТЭС закрывали самую красивую часть неба и эти образованные тучи , подсвеченные заходящим солнцем казались мне такими же серыми как и жизнь детей, растущих в веке технологий.","Вчера я смотрел из окна на закат, он был очень красив, но огромные клубы дыма, выпускаемого из огромных труб ТЭС закрывали самую красивую часть неба и эти образовавшиеся тучи, подсвеченные заходящим солнцем казались мне такими же серыми как и жизнь детей, растущих в веке технологий.",было,"infl, cause, typo"
161,"Если не уметь использовать знания в реальной жизни, то ценность их стремительно приближается к нулю.","Если не уметь пользоваться знаниями в реальной жизни, то ценность их стремительно приближается к нулю.",использовать,infl
162,При написании данной работой пользовалась статьей « По поводу « локалистской » концепции значения: предлог под » В.А.,При написании данной работы я пользовалась статьей «По поводу «локалистской» концепции значения: предлог под» В.А.,работой,"agr, lack"
163,"2. Значения, в которых доминирующее положение Х-а определяется в терминах пространственно статики или динамики.","2. Значения, в которых доминирующее положение Х-а, определяется в терминах пространственной статики или динамики.",пространственно,"agr, cause, typo"
164,"Где-то слышится трель соловья, стуки дятла, шорох стаи пролетающих мимо птиц.","Где-то слышатся трель соловья, стук дятла, шорох стаи пролетающих мимо птиц.",стуки,infl
165,"Гуманитарные курсы нужны для того, что бы человек умел или учился « наращивать фундамент », ту культурную базу, которая может пригодится ему потом при общении с людьми других культур, следовательно, это способствует лучшему пониманию.","Гуманитарные курсы нужны для того, чтобы человек умел или учился «наращивать фундамент», ту культурную базу, которая может пригодиться ему потом при общении с людьми других культур, следовательно, это способствует лучшему пониманию.",что бы,typo
166,"Но ведь принято считать, что русский язык, как один из самых сложных, интересных, насыщенных и красивых языков мира, должен звучать мелодично и гармонично, не вызывая отторжения у слухового аппарата, словно прекрасная соловьиная трель, разбудившая солнечным утром.","Но ведь принято считать, что русский язык, как один из самых сложных, интересных, насыщенных и красивых языков мира, должен звучать мелодично и гармонично, не вызывая отторжения у слуха, словно прекрасная соловьиная трель, разбудившая солнечным утром.",слухового аппарата,"lex, word"
167,"Вместе с распространением культуры общения в социальных сетях, устная речь претерпевает свои изменение Рассматривая русский язык, как науку, можно сделать вывод о том, что на данном этапе она находится в регрессе Наука в своем смысле требует от человека, который ей занимается, ежедневных тренировок.","В своем эссе я бы хотела подробно рассмотреть процесс изменения языка, а также понять причины вымирания отдельных слов и появление их современных аналогов. В ходе написания этой работы я изучала статьи российского лингвиста, доктора филологических наук Максима Кронгауза, которые в дальнейшем помогли мне сформировать единый образ современного русского языка.",изменение,typo
169,"Там вы покатаетесь на самых быстрых американских горках, побываете в комнате страхов, вас даже могут нарядить и причесать, как любимого персонажа из мультфильмов Диснеы.Множество аттракционов расположено в этом парке на любой вкус и для всех возрастов.","Там вы покатаетесь на самых быстрых американских горках, побываете в комнате страхов, вас даже могут нарядить и причесать, как любимого персонажа из мультфильмов Диснея. Множество аттракционов расположено в этом парке на любой вкус и для всех возрастов.",Диснеы,typo
170,"Во многих парках приходиться платить за каждый аттракцион и из-за их дорогой стоимости, вы покатаетесь максимум на 5 аттракционах, если конечно не возьмете с собой тысяч так десять рублей.","Во многих парках приходится платить за каждый аттракцион, и из-за их дорогой стоимости вы покатаетесь максимум на 5 аттракционах, если, конечно, не возьмете с собой тысяч так десять рублей.",приходиться,"typo, infl"
171,"Приближаясь к мору, всё больше чувствуется приятный запах свежести, бриза чистоты.","Когда приближаешься к морю, всё больше чувствуется приятный запах свежести, бриза, чистоты.",бриза чистоты,typo
172,"Безусловно, безумно хочется увидеть своими глаза такое явление как“ белые ночи”, для тех, кто не знает, говоря простым языком, это когда ночью практически также светло, как и поздним вечером, как по мне, так это просто удивительно!","Безусловно, безумно хочется увидеть своими глаза такое явление как “белые ночи”, для тех, кто не знает, говоря простым языком, это когда ночью практически так же светло, как и поздним вечером, как по мне, так это просто удивительно!",также,"typo, lex, word, compar"
173,"Замена на вопреки в ( 19) создает новое значение: изначальный предлог показывает пренебрежение этой « горой трупов », но если заменить на вопреки, то « гора трупов » будто оживляется и мешает режиссёру снять фильм.","Замена на 'вопреки' в (19) создает новое значение: изначальный предлог показывает пренебрежение этой «горой трупов», но если заменить на 'вопреки', то «гора трупов» будто оживает и мешает режиссёру снять фильм.",оживляется,asp
174,"Удивительно то, что вроде пару дней назад была зима, а тут вот за кротчайшее время мир поменялся очень резко.","Удивительно то, что вроде пару дней назад была зима, а тут вот за кратчайшее время мир поменялся очень резко.",кротчайшее,"typo, word"
175,"Направо: вихрь домов, вывесок, кофеин, магазинов, толпы сменяется умиротворением парка с пасущимися голубями, играющими детишками и стариками на лавочке.","Направо: вихрь домов, вывесок, кофеен, магазинов, толпы сменяется умиротворением парка с пасущимися голубями, играющими детишками и стариками на лавочке.",кофеин,typo
176,"При этом имеется ввиду, что У детерминирует Х. Но из-за того, что сделается вывод только о пространственном применении предлога, ограничивается и степень приложимости этих результатов . Когнитивный подход: Этот подход сочетает в себе достоинства предыдущих.","При этом имеется в виду, что У детерминирует Х. Но из-за того, что делается вывод только о пространственном применении предлога, ограничивается и степень приложимости этих результатов. Когнитивный подход: этот подход сочетает в себе достоинства предыдущих.",сделается,asp
177,"Было представлено соответственно две гипотезы – одна по моему мнению, очень громоздкой, а вторая не достаточно действенной для предлогов с больших количеством непространственных значений.","Было представлено, соответственно, две гипотезы – одна, по моему мнению, очень громоздкая, а вторая недостаточно действенная для предлогов с большим количеством непространственных значений.",больших,agr
178,"У нас есть неплохие умы, которые подают большие надежды и я считаю, что российский бизнесс будет только процветать.","У нас есть неплохие умы, которые подают большие надежды, и я считаю, что российский бизнес будет только процветать.",бизнесс,typo
179,"Для примера хочется привести случай из опыта моего друга, который работал на авто-выставке консультантом.","Для примера хочется привести случай из опыта моего друга, который работал на автовыставке консультантом.",авто-выставке,typo
181,"Запрещая курить, ограничивая людей в этом, не стоит ровнять миллионы людей под одного человека.","Запрещая курить, ограничивая людей в этом, не стоит подгонять миллионы людей под одного человека.",ровнять,"deriv, paron, cause, contam, lex, phrase"
182,"Ожидаемые результаты В входе исследования будет рассмотрено значительное количество аспектов, касательно данной проблемы, будут оценены на примере современной Российской Федерации различные методики их влияние Кроме того выявить критерии наиболее оптимальной методики или несколько для нашей страны.","Ожидаемые результаты:  в ходе исследования будет рассмотрено значительное количество аспектов касательно данной проблемы, будут оценены на примере современной Российской Федерации различные методики их влияния. Кроме того, выявить критерии наиболее оптимальной методики или несколько для нашей страны.",входе,"deriv, paron, cause, typo"
183,"Природа денег весьма могущественна и в то же время слабосильная Деньги могут привести ко всякой материальной цели, однако не заменят человека у кормила Они являются следствием, но причина – всегда человек.","Природа денег весьма могущественна и в то же время слаба. Деньги могут привести ко всякой материальной цели, однако не заменят человеку кормильца. Они являются следствием, но причина – всегда человек.",слабосильная,"infl, coord, dis_coord"
184,"Ключевыми практическими задачами работы является сбор данных для анализа и интерпретации в российской компании « Виталенд », применение теоритических знаний для нахождение возможных несоответствий между фактическим и необходимым стилем лидерства, а также формулирование рекомендаций для улучшения взаимодействия между руководителем и подчиненным.","Ключевыми практическими задачами работы являются сбор данных для анализа и интерпретации в российской компании «Виталенд», применение теоретических знаний для нахождения возможных несоответствий между фактическим и необходимым стилем лидерства, а также формулирование рекомендаций для улучшения взаимодействия между руководителем и подчиненным.",нахождение,"infl, cause, typo"
185,"Методология исследования обусловлена необходимостью практического применения нашей модели и формулировке адекватных и эффективных рекомендаций Основными материалами и данными нашего исследования будут выступать ответы респондентов, а также дневники наблюдений исследователей.","Методология исследования обусловлена необходимостью практического применения нашей модели и формулировкой адекватных и эффективных рекомендаций. Основными материалами и данными нашего исследования будут выступать ответы респондентов, а также дневники наблюдений исследователей.",формулировке,gov
186,"Иными словами, данный инструмент анализа повысить продуктивность коллектива, что положительно скажется на конечном результате всей компании.","Иными словами, данный инструмент анализа повысит продуктивность коллектива, что положительно скажется на конечном результате всей компании.",повысить,"infl, lack"
187,"Эта совокупность наиболее подходящая, так как только топ менеджеры понимают всю систему управления полностью и точно Ожидаемый результат Планируется проверить гипотезы о том, что правильная система управления может значительно повисеть производительность компании.","Эта совокупность наиболее подходящая, так как только топ менеджеры понимают всю систему управления полностью и точно. Ожидаемый результат: планируется проверить гипотезу о том, что правильная система управления может значительно повлиять на производительность компании.",повисеть,"deriv, paron, cause, typo"
188,"На мой субъективный взгляд, женщина, которая говорит, что свадьба ей не нужна, она согласна жить со своим мужчиной вне брака, на самом деле опасается, что если она затребует этого от него, то он уйдет от нее, боясь обязательств, а вовсе не потому, что она современная и хочет быть свободной.","На мой субъективный взгляд, женщина, которая говорит, что свадьба ей не нужна и согласна жить со своим мужчиной вне брака, на самом деле опасается, что если она потребует это от него, то он уйдет от нее, боясь обязательств, а вовсе не потому, что она современная и хочет быть свободной.",затребует,deriv
189,"Актуальность проблемы: Актуальность моей курсовой работы заключается в том, что многие страны сегодня, в том числе и Россия, имеют необходимость пересмотреть свой подход к производству и к менеджменту, опираясь на примере более успешных в этих сферах стран.","Актуальность проблемы: актуальность моей курсовой работы заключается в том, что многие страны сегодня, в том числе и Россия, имеют необходимость пересмотреть свой подход к производству и к менеджменту с опорой на примеры более успешных в этих сферах стран.",примере,"infl, cause, typo"
190,"Даже самый сложный для понимания материал находит отражение в практической деятельности человека, тем самым создавая конкретные примеры, которые намного дольше хранятся в нашей памяти, так как ассоциируются с тем или иным действиями или явлениями Интерпретировать данные, и, даже, объяснить их неосведомленному в это области человеку невозможно, если мы их не понимаем.","Даже самый сложный для понимания материал находит отражение в практической деятельности человека, тем самым создаются конкретные примеры, которые намного дольше хранятся в нашей памяти, так как ассоциируются с тем или иным действием или явлением. Интерпретировать данные, и, даже, объяснить их неосведомленному в этой области человеку невозможно, если мы их не понимаем.",это,"agr, cause, typo"
191,"Но если задавать расисту ещё вопросы, которые выясняют что конкретно ему сделала плохого ненавидимая нация, то можно очень скоро увидеть что расист сам не понимает, почему он ненавидит ту или иную расу.","Но если задавать расисту ещё вопросы, которые выявляют, что конкретно ему сделала плохого ненавидимая нация, то можно очень скоро увидеть, что расист сам не понимает, почему он ненавидит ту или иную расу.",выясняют,"infl, lex, meton"
192,"Это, например,« чёрные » квартала Америки, некоторые регионы Кавказа, где русских не любят, другие страны и регионы земного шара.","Это, например, «чёрные» кварталы Америки, некоторые регионы Кавказа, где русских не любят, другие страны и регионы земного шара.",квартала,"infl, cause, typo"
193,"Все зависит от того, какую последовательность каких конфигурацией и в какой области кодируют пары версий этих частиц.","Все зависит от того, какую последовательность каких конфигураций и в какой области кодируют пары версий этих частиц.",конфигурацией,"gov, cause, typo"
194,"Но наиболее подходящим я бы назвала именно глагольные конструкции с СУР, так как они содержат в себе упомянутые ранее конструкции « контакта »,« доступа » и « плоскости раздела », однако эти конструкции никак не влияют на глагольное управление.","Но наиболее подходящими я бы назвала именно глагольные конструкции с СУР, так как они содержат в себе упомянутые ранее конструкции «контакта»,«доступа» и «плоскости раздела», однако эти конструкции никак не влияют на глагольное управление.",подходящим,"agr, lack"
195,"Кроме того, Д.Пайар отмечает невозможность совмещение этих сценариев, так как глагольный сценарий первичен и может быть реконструирован с помощью предложного сценария, но никак не наоборот.","Кроме того, Д. Пайар отмечает невозможность совмещения этих сценариев, так как глагольный сценарий первичен и может быть реконструирован с помощью предложного сценария, но никак не наоборот.",совмещение,"gov, cause, typo"
196,"Существует большое количество семантический вариаций глаголов и предлога СУР, однако главную роль в них играет сам предлог, так как значение формируется независимо от семантики самого глагола.","Существует большое количество семантических вариаций глаголов и предлога СУР, однако главную роль в них играет сам предлог, так как значение формируется независимо от семантики самого глагола.",семантический,"gov, cause, typo"
